rest,rest-href,next,next-href,rank,price,cuisine,meals,features,goodFor,hours,location,phone,rating,reveiws,moreReviews,moreReviews-href
"Edo - Japanese Restaurant and Bar","https://www.tripadvisor.com/Restaurant_Review-g297628-d1942823-Reviews-Edo_Japanese_Restaurant_and_Bar-Bengaluru_Bangalore_District_Karnataka.html","","","#8 of 10,125 Restaurants in Bengaluru","null","Brunch, Lunch, Dinner","Outdoor Seating, Reservations, Private Dining, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Cash Only","Bar scene, Families with children, Special occasions, Kids, Business meetings, Romantic, Large groups","Sunday
12:00 pm - 3:00 pm


Monday
12:30 pm - 2:30 pm6:30 pm - 11:30 pm


Tuesday
12:30 pm - 2:30 pm6:30 pm - 11:30 pm


Wednesday
12:30 pm - 2:30 pm6:30 pm - 11:30 pm


Thursday
12:30 pm - 2:30 pm6:30 pm - 11:30 pm


Friday
12:30 pm - 2:30 pm6:30 pm - 11:30 pm


Saturday
12:30 pm - 2:30 pm6:30 pm - 11:30 pm","","Address:
 1 Residency Road | ITC Gardenia, Next to Vittal Mallya Hospital, Bengaluru 560025, India","+91 99018 88832","","Yalaomika



Bengaluru, India





Level  Contributor 


5 reviews 


3 restaurant reviews








“Oh Yeah”



Reviewed February 10, 2017




Amazing food - Amazing place. You should definitely visit this place. One of the best meals I have ever had.




Helpful? 


Thank Yalaomika 





Report 





GM_ITCGardenia, General Manager at Edo - Japanese Restaurant and Bar, responded to this review



Dear Guest,
Thank you for posting such a positive review on TripAdvisor. I am pleased to read that you enjoyed the fine dining experience at Edo. We look forward to welcoming you for yet another memorable dining experience at Edo.
Warm Regards,
Amaan Kidwai
General Manager
ITC Gardenia



More","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d1942823-Reviews-or10-Edo_Japanese_Restaurant_and_Bar-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"13th Floor Lounge Bar","https://www.tripadvisor.com/Restaurant_Review-g297628-d1020018-Reviews-13th_Floor_Lounge_Bar-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#53 of 10,125 Restaurants in Bengaluru","$6 -
$11","Thai, Indian, Bar, Asian, Pub, Vegetarian Friendly, Vegan Options","Dinner, Late Night, Drinks","Outdoor Seating, Buffet, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Television, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Reservations","Special occasions, Large groups, Romantic, Bar scene, Scenic view","","Address:
 84 Mahatma Gandhi Road, Bengaluru 560001, India","null","","Namita D



Reading





Level  Contributor 


34 reviews 


18 restaurant reviews





6 helpful votes 







“Superb location and low on service”



Reviewed March 31, 2017




It is the place for Bangalorians who like to party hard. Food and Drinks are really good here For weekends, they have cover charge. The location is really awesome,




Helpful? 


Thank Namita D 





Report","Previous","https://www.tripadvisor.com/Restaurant_Review-g297628-d1020018-Reviews-13th_Floor_Lounge_Bar-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Ballal Residency Resturant","https://www.tripadvisor.com/Restaurant_Review-g297628-d4055831-Reviews-Ballal_Residency_Resturant-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#46 of 10,125 Restaurants in Bengaluru","null","Breakfast, Lunch, Dinner, Brunch","Takeout, Reservations, Seating, Waitstaff, Parking Available, Validated Parking","Dining on a budget, Large groups, Local cuisine, Kids, Families with children, Special occasions","null","","Address:
 74/4, III Cross, Residency Road, Bengaluru, India","+91 80 2559 7277","88","","",""
"MTR - Mavalli Tiffin Rooms","https://www.tripadvisor.com/Restaurant_Review-g297628-d1067832-Reviews-MTR_Mavalli_Tiffin_Rooms-Bengaluru_Bangalore_District_Karnataka.html","","","#18 of 10,125 Restaurants in Bengaluru","$4","Indian, Vegetarian Friendly, Vegan Options, Gluten Free Options","Brunch, Breakfast, Lunch, Dinner","Takeout, Seating, Waitstaff","Dining on a budget, Families with children, Kids, Local cuisine, Large groups","","Address:
 #14 Lakshmi Road, Bengaluru 560027, India","+91 80 2223 0471","","Santosh R








Level  Contributor 


18 reviews 


4 restaurant reviews





2 helpful votes 







“No 1 Hotel for Foodies in Bangalore”



Reviewed 2 weeks ago




Never miss this hotel if in in Bangalore. This place is a legend. The snacks are what I prefer like the dosas etc. They invented the Rava Idli. If out for lunch/dinner be ready to on a empty stomach.




Helpful? 


Thank Santosh R 





Report","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d1067832-Reviews-or10-MTR_Mavalli_Tiffin_Rooms-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"JW Kitchen","https://www.tripadvisor.com/Restaurant_Review-g297628-d4870813-Reviews-JW_Kitchen-Bengaluru_Bangalore_District_Karnataka.html","","","#27 of 10,125 Restaurants in Bengaluru","null","Brunch, Breakfast, Lunch, Dinner, Late Night","Buffet, Parking Available, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Seating, Validated Parking, Full Bar, Wine and Beer","Local cuisine, Special occasions, Large groups, Families with children, Business meetings, Kids","Sunday
12:00 am - 11:59 pm


Monday
12:00 am - 11:59 pm


Tuesday
12:00 am - 11:59 pm


Wednesday
12:00 am - 11:59 pm


Thursday
12:00 am - 11:59 pm


Friday
12:00 am - 11:59 pm


Saturday
12:00 am - 11:59 pm","","Address:
 24 Vittal Mallya Road, Bengaluru 560001, India","+91 80671 88950","","TravelFairyDust



Bengaluru, India





Level  Contributor 


5 reviews 




2 helpful votes 







“Good food, good times.”



Reviewed 2 weeks ago




Great selection of food on the buffet. Service can be a bit more attentive and refined. We tried both the breakfast and lunch buffets.




Helpful? 


Thank TravelFairyDust 





Report 





Parul T, General Manager at JW Kitchen, responded to this review



Dear Guest,
Thank you for choosing to dine at JW Kitchen Bengaluru and reviewing us on google plus.
It gives us immense pleasure that you thoroughly enjoyed your experience at the restaurant and loved the food served here.
We assure you that we shall look into the issue reported by you and shall try and work on the recommendations you...



More","",""
"Barbeque Nation","https://www.tripadvisor.com/Restaurant_Review-g297628-d795234-Reviews-Barbeque_Nation-Bengaluru_Bangalore_District_Karnataka.html","","","#16 of 10,125 Restaurants in Bengaluru","null","Brunch, Lunch, Dinner, Late Night","Reservations, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Serves Alcohol, Buffet","Special occasions, Kids, Large groups, Families with children, Business meetings","Sunday
12:00 pm - 4:00 pm7:00 pm - 11:00 pm


Monday
12:00 pm - 4:00 pm7:00 pm - 11:00 pm


Tuesday
12:00 pm - 4:00 pm7:00 pm - 11:00 pm


Wednesday
12:00 pm - 4:00 pm7:00 pm - 11:00 pm


Thursday
12:00 pm - 4:00 pm7:00 pm - 11:00 pm


Friday
12:00 pm - 4:00 pm7:00 pm - 11:00 pm


Saturday
12:00 pm - 4:00 pm7:00 pm - 11:00 pm","","Address:
 4005 100 Feet Road, Opposite Floating Walls | Opposite Floating Walls, Bengaluru 560038, India","+91 80 6060 0000","","Janelle S



Brisbane, Australia





Level  Contributor 


54 reviews 


24 restaurant reviews





33 helpful votes 







“Love this place”



Reviewed 3 weeks ago



via mobile




What a find! We opted for the Non-Veg option, getting the prawns, chicken and fish on skewers, placed over hot coals at your table.
The concept is great fun, getting to turn your own skewers over the coals and basting them with the condiments provided.
As I'm not into hot spice, I loved how they accommodated my wishes, which made...


More  






Helpful? 


Thank Janelle S 





Report","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d795234-Reviews-or10-Barbeque_Nation-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Alto Vino","https://www.tripadvisor.com/Restaurant_Review-g297628-d6216640-Reviews-Alto_Vino-Bengaluru_Bangalore_District_Karnataka.html","","","#5 of 10,125 Restaurants in Bengaluru","null","Lunch, Dinner, Late Night","Outdoor Seating, Takeout, Reservations, Private Dining, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Discover, Full Bar","Romantic, Large groups, Special occasions, Business meetings, Families with children","Sunday
6:30 pm - 11:00 pm


Monday
6:30 pm - 11:00 pm


Tuesday
6:30 pm - 11:00 pm


Wednesday
6:30 pm - 11:00 pm


Thursday
6:30 pm - 11:00 pm


Friday
6:30 pm - 11:00 pm


Saturday
6:30 pm - 11:00 pm","","Address:
 75 8th Road | Bengaluru Marriott Hotel, Bengaluru 560066, India","+91 80 4943 5000","","bhupen1991









1 review 







“###GUYS BEST PLACE TO HAVE ITALIAN IN BANGALORE ### ”



Reviewed 3 weeks ago



via mobile




From last 7 years I have been in many places .But this is one of the best place to visit for Italian food , Service in the restaurant was good . Best part was chef is taking the feedback. After finishing our main course I could remember chef Dola came to our table to ask us about our food.well thank...


More  






Helpful? 


Thank bhupen1991 





Report","Previous","https://www.tripadvisor.com/Restaurant_Review-g297628-d6216640-Reviews-Alto_Vino-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Kava","https://www.tripadvisor.com/Restaurant_Review-g297628-d6376016-Reviews-Kava-Bengaluru_Bangalore_District_Karnataka.html","","","#30 of 10,125 Restaurants in Bengaluru","null","Breakfast, Lunch, Dinner, Brunch","Reservations, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Serves Alcohol, Full Bar, Takeout, Highchairs Available, Wheelchair Accessible","Special occasions, Kids, Large groups, Families with children, Bar scene, Business meetings","null","","Address:
 59'th Cross Road, Bengaluru 560010, India","+91 80 4947 0000","","j j









1 review 







“good serice”



Reviewed 1 week ago



via mobile




santosh chef is a excellent guy in making us feel happy in terms of service extra ordinary when ever i am planning for bangalore i only think of kava restarant




Helpful? 


Thank j j 





Report","",""
"13th Floor Lounge Bar","https://www.tripadvisor.com/Restaurant_Review-g297628-d1020018-Reviews-13th_Floor_Lounge_Bar-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#53 of 10,125 Restaurants in Bengaluru","$6 -
$11","Thai, Indian, Bar, Asian, Pub, Vegetarian Friendly, Vegan Options","Dinner, Late Night, Drinks","Outdoor Seating, Buffet, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Television, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Reservations","Special occasions, Large groups, Romantic, Bar scene, Scenic view","","Address:
 84 Mahatma Gandhi Road, Bengaluru 560001, India","null","","Augustine J



Abu Dhabi, United Arab Emirates





Level  Contributor 


51 reviews 


28 restaurant reviews





7 helpful votes 







“A quick night out!”



Reviewed 4 weeks ago



via mobile




Easier to locate in MG road, the place was good for quick drinks and indian dishes to go with it. View of the city from a different perspective adds to the ambience.
The staff were accommodating with our orders and requests to complete the night.




Helpful? 


Thank Augustine J 





Report","Previous","https://www.tripadvisor.com/Restaurant_Review-g297628-d1020018-Reviews-13th_Floor_Lounge_Bar-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Zen","https://www.tripadvisor.com/Restaurant_Review-g297628-d1066254-Reviews-Zen-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#59 of 10,125 Restaurants in Bengaluru","$20 -
$100","Chinese, Japanese, Sushi, Asian, Thai, Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night","Reservations, Outdoor Seating, Seating, Waitstaff, Validated Parking, Full Bar, Buffet, Parking Available, Valet Parking, Wheelchair Accessible, Serves Alcohol","Business meetings, Special occasions, Large groups, Romantic, Families with children","","Address:
 23 Old Airport Road | The Leela Palace, Bengaluru 560008, India","+91 80 3057 1520","","commondo









2 reviews 







“""Awesome Sunday Dim sum Brunch""”



Reviewed 5 days ago
NEW 


via mobile




We went at zen restaurant at Leela for family lunch But the staff was suggest to go for Dim sum Brunch . just we say Veg or Non veg remaining everything staff will take care we really enjoyed. Lots of food along with Drink .....I appreciate the staff. We will come again.




Helpful? 


Thank commondo 





Report 




commondo has 1 more review of Zen 


“Best sushi”


 

Reviewed March 15, 2017","",""
"Big Pitcher","https://www.tripadvisor.com/Restaurant_Review-g297628-d6582169-Reviews-Big_Pitcher-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#56 of 10,125 Restaurants in Bengaluru","$12 -
$25","Brew Pub, Bar, International, Barbecue, Vegetarian Friendly, Vegan Options","Brunch, Lunch, Dinner, Late Night, Drinks","Takeout, Parking Available, Valet Parking, Television, Highchairs Available, Serves Alcohol, Reservations, Buffet, Seating, Waitstaff, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Validated Parking","Large groups, Bar scene, Special occasions","","Address:
 4121/P L R Arcade Old Airport Road, Bengaluru 560008, India","+91 80 4553 0049","","Jason F









1 review 







“Great find ”



Reviewed 4 weeks ago



via mobile




As a returning customer, Great place for some food and drinks. Very pleasant bar tenders. Wonderful place walking distance from Leela.




Helpful? 


Thank Jason F 





Report","",""
"Hard Rock Cafe Bengaluru","https://www.tripadvisor.com/Restaurant_Review-g297628-d919190-Reviews-Hard_Rock_Cafe_Bengaluru-Bengaluru_Bangalore_District_Karnataka.html","","","#22 of 10,125 Restaurants in Bengaluru","null","Brunch, Lunch, Dinner, Late Night, Drinks","Reservations, Seating, Waitstaff, Parking Available, Valet Parking, Television, Serves Alcohol, Full Bar","Large groups, Bar scene, Special occasions","Sunday
12:00 pm - 11:30 pm


Monday
12:00 pm - 11:30 pm


Tuesday
12:00 pm - 11:30 pm


Wednesday
12:00 pm - 11:30 pm


Thursday
12:00 pm - 11:30 pm


Friday
12:00 pm - 12:30 am


Saturday
12:00 pm - 12:30 am","","Address:
 No 40 St Marks Road | Near Anil Kumble Circle, Opposite LIC building, Bengaluru 560001, India","null","","Nameesh R








Level  Contributor 


57 reviews 


31 restaurant reviews





7 helpful votes 







“Good hangout place with great music, food & drinks :)”



Reviewed 2 weeks ago




Hard Rock Café is one of the most popular destination in Bangalore and across the world. It has always been known to be a place for chilling out with friends over a drink and have some wonderful American Food. The place is also known for its live music played by some of the upcoming bands. Also it is known for...


More  










 



 



 



 



 



 



 



 




See all photos


  


Helpful? 


Thank Nameesh R 





Report 





Team_HardRockCafe, General Manager at Hard Rock Cafe Bengaluru, responded to this review



Hi,
Thank you for your detailed review and super cool rating! Glad you had a great time and loved our lip-smacking food. We sure do work hard to make our customers have a rocking time and glad that you appreciate it. Complete rock n’ roll attitude of this place and walls toting only the finest memorabilia do rock your senses,...



More","",""
"The Fatty Bao","https://www.tripadvisor.com/Restaurant_Review-g297628-d6942844-Reviews-The_Fatty_Bao-Bengaluru_Bangalore_District_Karnataka.html","","","#21 of 10,125 Restaurants in Bengaluru","null","Brunch, Lunch, Dinner, Late Night, Drinks","Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Valet Parking, Serves Alcohol, Full Bar, Takeout","Families with children, Special occasions, Large groups","Sunday
7:00 pm - 12:00 am12:00 pm - 3:00 pm


Tuesday
12:00 pm - 3:00 pm7:00 pm - 11:00 pm


Wednesday
12:00 pm - 3:00 pm7:00 pm - 11:00 pm


Thursday
12:00 pm - 3:00 pm7:00 pm - 11:00 pm


Friday
12:00 pm - 3:00 pm7:00 pm - 1:00 am


Saturday
12:00 pm - 3:00 pm7:00 pm - 1:00 am","","Address:
 3rd Floor Off 80 610 12'th Main Road | Above Monkey Bar, Indiranagar, Bengaluru 560038, India","+91 80 4513 3582","132","","",""
"JW Kitchen","https://www.tripadvisor.com/Restaurant_Review-g297628-d4870813-Reviews-JW_Kitchen-Bengaluru_Bangalore_District_Karnataka.html","","","#27 of 10,125 Restaurants in Bengaluru","null","Brunch, Breakfast, Lunch, Dinner, Late Night","Buffet, Parking Available, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Seating, Validated Parking, Full Bar, Wine and Beer","Local cuisine, Special occasions, Large groups, Families with children, Business meetings, Kids","Sunday
12:00 am - 11:59 pm


Monday
12:00 am - 11:59 pm


Tuesday
12:00 am - 11:59 pm


Wednesday
12:00 am - 11:59 pm


Thursday
12:00 am - 11:59 pm


Friday
12:00 am - 11:59 pm


Saturday
12:00 am - 11:59 pm","","Address:
 24 Vittal Mallya Road, Bengaluru 560001, India","+91 80671 88950","","sankmik



Bengaluru, India





Level  Contributor 


161 reviews 


54 restaurant reviews





34 helpful votes 







“Desent mid night buffet”



Reviewed 1 week ago




We visited this place for mid night buffet, after office for a team party. Considering this is JW Marriott, we had a great expectation - I should not say we were disappointed, but I felt the buffet could have had more options compared to what they had. Specially in the starter section, they had only one veg and one non...


More  






Helpful? 


Thank sankmik 





Report 





Parul T, General Manager at JW Kitchen, responded to this review



Dear Guest,
Greetings from JW Kitchen Bengaluru!
We are happy that you shared your experience with us based on your recent visit to the restaurant for the mid night buffet.
At JW Marriott we continuously thrive to serve our guests with a seamless service to cherish and your suggestions and recommendations are valuable to us.
We regret the inconvenience caused...



More","Previous","https://www.tripadvisor.com/Restaurant_Review-g297628-d4870813-Reviews-JW_Kitchen-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Truffles Ice & Spice","https://www.tripadvisor.com/Restaurant_Review-g297628-d6022202-Reviews-Truffles_Ice_Spice-Bengaluru_Bangalore_District_Karnataka.html","","","#28 of 10,125 Restaurants in Bengaluru","null","Brunch, Lunch, Dinner, Late Night","Delivery, Takeout, Seating, Waitstaff","Families with children, Kids, Large groups, Dining on a budget","Sunday
11:30 am - 10:30 pm


Monday
11:30 am - 10:30 pm


Tuesday
11:30 am - 10:30 pm


Wednesday
11:30 am - 10:30 pm


Thursday
11:30 am - 10:30 pm


Friday
11:30 am - 10:30 pm


Saturday
11:30 am - 10:30 pm","","Address:
 28 4th B Cross 5th Block | Koramangala, Bengaluru 560034, India","41466565","","PierreSid



Margao, India





Level  Contributor 


9 reviews 


4 restaurant reviews





5 helpful votes 







“Worth the wait”



Reviewed February 13, 2017




Had to wait for nearly 30 mins to get in, it was worth every minute. Decent prices, and you can't go wrong with anything that you order.




Helpful? 


Thank PierreSid 





Report","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d6022202-Reviews-or10-Truffles_Ice_Spice-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"24x7 in Lalit Ashok","https://www.tripadvisor.com/Restaurant_Review-g297628-d3681422-Reviews-24x7_in_Lalit_Ashok-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#60 of 10,125 Restaurants in Bengaluru","$8 -
$31","Indian, Pizza, International, Vegan Options, Vegetarian Friendly, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch, Late Night","Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Validated Parking, Serves Alcohol, Buffet, Valet Parking, Wheelchair Accessible, Full Bar","Large groups, Romantic, Kids, Business meetings, Special occasions, Scenic view, Families with children","Monday
12:00 am - 11:59 pm","Address:
 Kumara Krupa High Grounds | Kumarakrupa Road, Bengaluru 560001, India","+91 80 3052 7777","","","",""
"Barbeque Nation, Bangalore, India","https://www.tripadvisor.com/Restaurant_Review-g297628-d3972665-Reviews-Barbeque_Nation_Bangalore_India-Bengaluru_Bangalore_District_Karnataka.html","","","#24 of 10,125 Restaurants in Bengaluru","null","Lunch, Dinner, Late Night","Reservations, Seating, Waitstaff, Parking Available, Serves Alcohol, Validated Parking, Highchairs Available","Families with children, Special occasions, Kids, Business meetings, Large groups","Sunday
12:00 pm - 3:00 pm6:30 pm - 10:00 pm


Monday
12:00 pm - 3:00 pm6:30 pm - 10:00 pm


Tuesday
12:00 pm - 3:00 pm6:30 pm - 10:00 pm


Wednesday
12:00 pm - 3:00 pm6:30 pm - 10:00 pm


Thursday
12:00 pm - 3:00 pm6:30 pm - 10:00 pm


Friday
12:00 pm - 3:00 pm6:30 pm - 10:00 pm


Saturday
12:00 pm - 3:00 pm6:30 pm - 10:00 pm","Saturday
12:00 pm - 3:00 pm6:30 pm - 10:00 pm","Address:
 Ground Floor 1 Lido Mall Old Madras Rd, Bengaluru 560008, India","+91 99000 10682","","","",""
"Church Street Social","https://www.tripadvisor.com/Restaurant_Review-g297628-d6681474-Reviews-Church_Street_Social-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#34 of 10,125 Restaurants in Bengaluru","$2 -
$15","American, Indian, Bar, Pub, Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks","Seating, Waitstaff, Television, Serves Alcohol, Full Bar, Reservations","Special occasions, Large groups, Bar scene","","Address:
 46/1 Cobalt Building Church Street | Cobalt Building, Bengaluru 560001, India","+91 80 4171 3016","106","","",""
"My Place","https://www.tripadvisor.com/Restaurant_Review-g297628-d5238107-Reviews-My_Place-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#52 of 10,125 Restaurants in Bengaluru","null","Breakfast, Lunch, Dinner, Brunch","Reservations, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar","Business meetings, Families with children, Kids, Special occasions, Romantic","Sunday
12:00 am - 11:59 pm


Monday
12:00 am - 11:59 pm


Tuesday
12:00 am - 11:59 pm


Wednesday
12:00 am - 11:59 pm


Thursday
12:00 am - 11:59 pm


Friday
12:00 am - 11:59 pm


Saturday
12:00 am - 11:59 pm","","Address:
 Movenpick Hotel & Spa Bangalore, No. 115, Gokula Extension, HMT Road, Near BEL Circle, New BEL Road, Bengaluru 560054, India","+91 80 4300 1000","","Kawal C









2 reviews 







“Excellent food and great staff.”



Reviewed 5 days ago
NEW 



“Excellent service from staff at various levels. Awesome experience !!”
Excellent amenities and cleanliness.
Very courteous staff at all levels from top to bottom. To name few of them :
Gaurav Bhatia (Sous Chef)
Anusha. M (F&B Hostess) My Place
Rajesh (Executive)
Bikash (Associate)
Reema (Associate)
Anand Yadav (House Keeping)
Very impressed by the services provided by them with Smile....


More  






Helpful? 


Thank Kawal C 





Report","",""
"MTR - Mavalli Tiffin Rooms","https://www.tripadvisor.com/Restaurant_Review-g297628-d1067832-Reviews-MTR_Mavalli_Tiffin_Rooms-Bengaluru_Bangalore_District_Karnataka.html","","","#18 of 10,125 Restaurants in Bengaluru","$4","Indian, Vegetarian Friendly, Vegan Options, Gluten Free Options","Brunch, Breakfast, Lunch, Dinner","Takeout, Seating, Waitstaff","Dining on a budget, Families with children, Kids, Local cuisine, Large groups","Friday
6:30 am - 8:30 pm","Address:
 #14 Lakshmi Road, Bengaluru 560027, India","+91 80 2223 0471","","","",""
"Arbor Brewing Company India","https://www.tripadvisor.com/Restaurant_Review-g297628-d4009567-Reviews-Arbor_Brewing_Company_India-Bengaluru_Bangalore_District_Karnataka.html","","","#20 of 10,125 Restaurants in Bengaluru","$8 -
$12","Italian, American, Bar, Pub, Vegetarian Friendly","Brunch, Lunch, Dinner, Late Night, Drinks","Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Valet Parking, Television, Serves Alcohol, Full Bar","Bar scene, Large groups, Special occasions","","Address:
 8 Allied Grande Plaza | Near MG Road,, Bengaluru 560038, India","80-67921222-0","","Maneesh1970



New Delhi, India





Level  Contributor 


23 reviews 


6 restaurant reviews





56 helpful votes 







“Poor management and indifferent service.”



Reviewed April 2, 2017



via mobile




This is Maneesh Agnihotri .
I visited the bangalore center on 31st march at approximately 4.00 pm.
The service was poor to say the least
I had to constantly call out the waiters to get everything even water...
Worse part was that we ordered beefeater gin and some beers.In the bill I found that I was charged Rs.75 plus taxes...


More  






Helpful? 


Thank Maneesh1970 





Report","Previous","https://www.tripadvisor.com/Restaurant_Review-g297628-d4009567-Reviews-Arbor_Brewing_Company_India-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Fenny's","https://www.tripadvisor.com/Restaurant_Review-g297628-d4243308-Reviews-Fenny_s-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#37 of 10,125 Restaurants in Bengaluru","$5 -
$20","Italian, Bar, Pizza, European, Pub, International, Vegetarian Friendly, Vegan Options, Gluten Free Options","Brunch, Lunch, Dinner, Late Night, Drinks","Takeout, Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Valet Parking, Television, Highchairs Available","Large groups, Romantic, Special occasions, Bar scene, Families with children","","Address:
 3rd Floor No 115 7th Block | Opposte Raheja Arcade, Bengaluru 560095, India","+91 80 4128 2428","","Abhishek J



Bengaluru, India





Level  Contributor 


181 reviews 


75 restaurant reviews





69 helpful votes 







“Great location and menu choices”



Reviewed March 9, 2017




This is a great place to hang out with friends and is very well located in the happening part of Bengaluru. The menu choices are good. The drinks, both alcoholic and non alcoholic also have great choices. There is also different seating plans for smokers and non-smokers. You also have a host of choices for foreign beers. The menu can...


More  






Helpful? 


Thank Abhishek J 





Report","",""
"Karavalli","https://www.tripadvisor.com/Restaurant_Review-g297628-d1568903-Reviews-Karavalli-Bengaluru_Bangalore_District_Karnataka.html","","","#7 of 10,125 Restaurants in Bengaluru","$20 -
$40","Indian, Seafood, Asian, Vegetarian Friendly, Vegan Options, Gluten Free Options","Brunch, Lunch, Dinner, Late Night","Takeout, Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar","Local cuisine, Special occasions, Large groups, Romantic, Families with children, Business meetings, Kids","","Address:
 66 Residency Road | The Gateway Hotel, Bengaluru 560025, India","null","","Jim M



Hampshire, United Kingdom





Level  Contributor 


118 reviews 


70 restaurant reviews





30 helpful votes 







“Great food great service ”



Reviewed April 6, 2017



via mobile




This is one of my favourites in bangalore. A recent visit did not disappoint. The chef served a selection of dishes to suit us. The staff are very knowledgeable about the food and it's origins which added to the experience.




Helpful? 


Thank Jim M 





Report 




Jim M has 1 more review of Karavalli 


“Portugal in the City!”


 

Reviewed May 26, 2016






Suresh_TGHR, General Manager at Karavalli, responded to this review



Dear Guest,
It was a delight to have you dine at our restaurant and thank you for taking the time out to share a review on your dining experience.
We are overwhelmed to read your kind words of praise on our food and services. It is my pleasure to share your appreciation to the team at the restaurant for their...



More","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d1568903-Reviews-or10-Karavalli-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
